Location,SppCode,Sex,Number,Date
NMBS,CrRWhi,m,550,9-Jul-18
NMBS,CrRWhi,m,551,9-Jul-18
NMBS,CrRWhi,m,552,9-Jul-18
NMBS,ChFCor,m,553,9-Jul-18
NMBS,ChFCor,m,553,10-Jul-18
NMBS,CrRWhi,m,554,9-Jul-18
NMBS,CrRWhi,m,555,9-Jul-18
NMBS,AmeEme,m,556,9-Jul-18
NMBS,CrRWhi,m,557,9-Jul-18
NMBS,CrRWhi,m,558,9-Jul-18
NMBS,CrRWhi,m,559,9-Jul-18
NMBS,CrRWhi,m,559,10-Jul-18
NMBS,CalPen,m,560,9-Jul-18
NMBS,ComWhi,m,561,9-Jul-18
NMBS,ChFCor,m,562,9-Jul-18
NMBS,ChFCor,m,562,10-Jul-18
NMBS,LanClu,m,563,9-Jul-18
NCCP,AmeEme,m,564,10-Jul-18
NMPN,BWiSki,m,564,9-Jul-18
NCCP,ChFCor,m,565,10-Jul-18
NCCP,ChFCor,m,565,12-Jul-18
NCCP,DtTWhi,m,566,10-Jul-18
NCCP,PaiSki,m,567,10-Jul-18
NCCP,ChFCor,m,568,10-Jul-18
NCCP,DtTWhi,m,569,10-Jul-18
NCCP,ChFCor,m,570,10-Jul-18
NCCP,AmeEme,m,571,10-Jul-18
NCCP,ChFCor,m,572,10-Jul-18
NCCP,DtTWhi,m,573,10-Jul-18
NCCP,ComWhi,m,574,10-Jul-18
NCCP,TwSSki,m,575,10-Jul-18
NCCP,AmeEme,m,576,10-Jul-18
NCCP,AmeEme,m,577,10-Jul-18
NCCP,AmeEme,m,578,10-Jul-18
NCCP,AmeEme,m,579,10-Jul-18
NCCP,AmeEme,m,580,10-Jul-18
NCCP,TwSSki,m,581,10-Jul-18
NCCP,ChFCor,m,582,10-Jul-18
NCCP,ChFCor,m,583,10-Jul-18
NCCP,AmeEme,m,584,10-Jul-18
NMBS,CrRWhi,m,585,10-Jul-18
NMBS,CrRWhi,m,586,10-Jul-18
NMBS,ComWhi,m,587,10-Jul-18
NMBS,ComWhi,m,587,12-Jul-18
NMBS,SlaSki,m,588,10-Jul-18
NMBS,ChFCor,m,589,10-Jul-18
NMBS,CrRWhi,m,590,10-Jul-18
